UF;COD. UF;COD. MUNIC;name_muni;pop
SP;35;105;Adamantina;35048
SP;35;204;Adolfo;3623
SP;35;303;Aguaí;34863
SP;35;402;Águas Da Prata;8025
SP;35;501;Águas De Lindóia;18313
SP;35;550;Águas De Santa Bárbara;5944
SP;35;600;Águas De São Pedro;3139
SP;35;709;Agudos;36524
SP;35;758;Alambari;5560
SP;35;808;Alfredo Marcondes;4101
SP;35;907;Altair;4060
SP;35;1004;Altinópolis;16179
SP;35;1103;Alto Alegre;4173
SP;35;1152;Alumínio;18061
SP;35;1202;Álvares Florence;3853
SP;35;1301;Álvares Machado;24651
SP;35;1400;Álvaro De Carvalho;5030
SP;35;1509;Alvinlândia;3168
SP;35;1608;Americana;229322
SP;35;1707;Américo Brasiliense;38202
SP;35;1806;Américo De Campos;5942
SP;35;1905;Amparo;70280
SP;35;2002;Analândia;4731
SP;35;2101;Andradina;57250
SP;35;2200;Angatuba;24161
SP;35;2309;Anhembi;6307
SP;35;2408;Anhumas;3999
SP;35;2507;Aparecida;36217
SP;35;2606;Aparecida D'oeste;4397
SP;35;2705;Apiaí;25211
SP;35;2754;Araçariguama;20114
SP;35;2804;Araçatuba;192757
SP;35;2903;Araçoiaba Da Serra;31321
SP;35;3000;Aramina;5486
SP;35;3109;Arandu;6351
SP;35;3158;Arapeí;2524
SP;35;3208;Araraquara;226508
SP;35;3307;Araras;128895
SP;35;3356;Arco-Íris;1890
SP;35;3406;Arealva;8351
SP;35;3505;Areias;3859
SP;35;3604;Areiópolis;11049
SP;35;3703;Ariranha;9277
SP;35;3802;Artur Nogueira;50246
SP;35;3901;Arujá;83939
SP;35;3950;Aspásia;1848
SP;35;4008;Assis;101597
SP;35;4107;Atibaia;137187
SP;35;4206;Auriflama;14961
SP;35;4305;Avaí;5275
SP;35;4404;Avanhandava;12719
SP;35;4503;Avaré;88385
SP;35;4602;Bady Bassitt;16359
SP;35;4701;Balbinos;4819
SP;35;4800;Bálsamo;8773
SP;35;4909;Bananal;10775
SP;35;5005;Barão De Antonina;3353
SP;35;5104;Barbosa;7128
SP;35;5203;Bariri;34048
SP;35;5302;Barra Bonita;36321
SP;35;5351;Barra Do Chapéu;5585
SP;35;5401;Barra Do Turvo;7828
SP;35;5500;Barretos;119243
SP;35;5609;Barrinha;31230
SP;35;5708;Barueri;262275
SP;35;5807;Bastos;21067
SP;35;5906;Batatais;60589
SP;35;6003;Bauru;366992
SP;35;6102;Bebedouro;77627
SP;35;6201;Bento De Abreu;2879
SP;35;6300;Bernardino De Campos;11157
SP;35;6359;Bertioga;56555
SP;35;6409;Bilac;7682
SP;35;6508;Birigui;118352
SP;35;6607;Biritiba-Mirim;31158
SP;35;6706;Boa Esperança Do Sul;14546
SP;35;6805;Bocaina;11810
SP;35;6904;Bofete;10879
SP;35;7001;Boituva;55725
SP;35;7100;Bom Jesus Dos Perdões;23025
SP;35;7159;Bom Sucesso De Itararé;3831
SP;35;7209;Borá;836
SP;35;7308;Boracéia;4631
SP;35;7407;Borborema;15569
SP;35;7456;Borebi;2519
SP;35;7506;Botucatu;139483
SP;35;7605;Bragança Paulista;160665
SP;35;7704;Braúna;5454
SP;35;7753;Brejo Alegre;2768
SP;35;7803;Brodowski;23460
SP;35;7902;Brotas;23419
SP;35;8009;Buri;19570
SP;35;8108;Buritama;16583
SP;35;8207;Buritizal;4345
SP;35;8306;Cabrália Paulista;4390
SP;35;8405;Cabreúva;46528
SP;35;8504;Caçapava;91162
SP;35;8603;Cachoeira Paulista;32294
SP;35;8702;Caconde;18976
SP;35;8801;Cafelândia;17499
SP;35;8900;Caiabu;4206
SP;35;9007;Caieiras;95780
SP;35;9106;Caiuá;5560
SP;35;9205;Cajamar;71805
SP;35;9254;Cajati;28962
SP;35;9304;Cajobi;10341
SP;35;9403;Cajuru;25230
SP;35;9452;Campina Do Monte Alegre;5901
SP;35;9502;Campinas;1164098
SP;35;9601;Campo Limpo Paulista;80847
SP;35;9700;Campos Do Jordão;50852
SP;35;9809;Campos Novos Paulista;4839
SP;35;9908;Cananéia;12604
SP;35;9957;Canas;4852
SP;35;10005;Cândido Mota;31131
SP;35;10104;Cândido Rodrigues;2780
SP;35;10153;Canitar;4884
SP;35;10203;Capão Bonito;47486
SP;35;10302;Capela Do Alto;19482
SP;35;10401;Capivari;53152
SP;35;10500;Caraguatatuba;113317
SP;35;10609;Carapicuíba;392294
SP;35;10708;Cardoso;12281
SP;35;10807;Casa Branca;29877
SP;35;10906;Cássia Dos Coqueiros;2623
SP;35;11003;Castilho;19873
SP;35;11102;Catanduva;119480
SP;35;11201;Catiguá;7603
SP;35;11300;Cedral;8767
SP;35;11409;Cerqueira César;19109
SP;35;11508;Cerquilho;45142
SP;35;11607;Cesário Lange;17163
SP;35;11706;Charqueada;16440
SP;35;57204;Chavantes;12484
SP;35;11904;Clementina;7992
SP;35;12001;Colina;18245
SP;35;12100;Colômbia;6211
SP;35;12209;Conchal;27132
SP;35;12308;Conchas;17406
SP;35;12407;Cordeirópolis;23234
SP;35;12506;Coroados;5753
SP;35;12605;Coronel Macedo;4922
SP;35;12704;Corumbataí;4036
SP;35;12803;Cosmópolis;66807
SP;35;12902;Cosmorama;7388
SP;35;13009;Cotia;229548
SP;35;13108;Cravinhos;34110
SP;35;13207;Cristais Paulista;8260
SP;35;13306;Cruzália;2209
SP;35;13405;Cruzeiro;81082
SP;35;13504;Cubatão;127006
SP;35;13603;Cunha;22086
SP;35;13702;Descalvado;32980
SP;35;13801;Diadema;412428
SP;35;13850;Dirce Reis;1772
SP;35;13900;Divinolândia;11492
SP;35;14007;Dobrada;8592
SP;35;14106;Dois Córregos;26517
SP;35;14205;Dolcinópolis;2142
SP;35;14304;Dourado;8897
SP;35;14403;Dracena;45847
SP;35;14502;Duartina;12567
SP;35;14601;Dumont;9178
SP;35;14700;Echaporã;6316
SP;35;14809;Eldorado;15339
SP;35;14908;Elias Fausto;17085
SP;35;14924;Elisiário;3451
SP;35;14957;Embaúba;2481
SP;35;15004;Embu Das Artes;261781
SP;35;15103;Embu-Guaçu;67296
SP;35;15129;Emilianópolis;3174
SP;35;15152;Engenheiro Coelho;18611
SP;35;15186;Espírito Santo Do Pinhal;43897
SP;35;15194;Espírito Santo Do Turvo;4621
SP;35;57303;Estiva Gerbi;10873
SP;35;15301;Estrela Do Norte;2761
SP;35;15202;Estrela D'oeste;8462
SP;35;15350;Euclides Da Cunha Paulista;9642
SP;35;15400;Fartura;15960
SP;35;15608;Fernando Prestes;5760
SP;35;15509;Fernandópolis;68120
SP;35;15657;Fernão;1669
SP;35;15707;Ferraz De Vasconcelos;184700
SP;35;15806;Flora Rica;1634
SP;35;15905;Floreal;3011
SP;35;16002;Flórida Paulista;14000
SP;35;16101;Florínia;2799
SP;35;16200;Franca;342112
SP;35;16309;Francisco Morato;168243
SP;35;16408;Franco Da Rocha;145755
SP;35;16507;Gabriel Monteiro;2790
SP;35;16606;Gália;6894
SP;35;16705;Garça;44532
SP;35;16804;Gastão Vidigal;4585
SP;35;16853;Gavião Peixoto;4688
SP;35;16903;General Salgado;10961
SP;35;17000;Getulina;11287
SP;35;17109;Glicério;4773
SP;35;17208;Guaiçara;11633
SP;35;17307;Guaimbê;5696
SP;35;17406;Guaíra;39813
SP;35;17505;Guapiaçu;20037
SP;35;17604;Guapiara;17879
SP;35;17703;Guará;20911
SP;35;17802;Guaraçaí;8525
SP;35;17901;Guaraci;10778
SP;35;18008;Guarani D'oeste;2020
SP;35;18107;Guarantã;6651
SP;35;18206;Guararapes;32346
SP;35;18305;Guararema;28344
SP;35;18404;Guaratinguetá;119073
SP;35;18503;Guareí;16867
SP;35;18602;Guariba;38499
SP;35;18701;Guarujá;311230
SP;35;18800;Guarulhos;1324781
SP;35;18859;Guatapará;7446
SP;35;18909;Guzolândia;5103
SP;35;19006;Herculândia;9278
SP;35;19055;Holambra;13375
SP;35;19071;Hortolândia;215819
SP;35;19105;Iacanga;11066
SP;35;19204;Iacri;6481
SP;35;19253;Iaras;7970
SP;35;19303;Ibaté;33535
SP;35;19402;Ibirá;11861
SP;35;19501;Ibirarema;7376
SP;35;19600;Ibitinga;57649
SP;35;19709;Ibiúna;76432
SP;35;19808;Icém;7997
SP;35;19907;Iepê;8036
SP;35;20004;Igaraçu Do Tietê;24451
SP;35;20103;Igarapava;29727
SP;35;20202;Igaratá;9349
SP;35;20301;Iguape;30390
SP;35;20426;Ilha Comprida;10291
SP;35;20442;Ilha Solteira;26344
SP;35;20400;Ilhabela;32197
SP;35;20509;Indaiatuba;231033
SP;35;20608;Indiana;4941
